director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords
Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,Comedy,step brothers,dream friendship karaoke love slacker
Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western,the mask of zorro,19th century california revenge training zorro
Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama,due date,actor aspiring actor birth misadventure suitcase
Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War,unbroken,emaciation male nudity plane crash prisoner of war torture
Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller,space cowboys,nasa old age satellite space space shuttle
Renny Harlin,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller,cliffhanger,money mountain rocky mountains snow suitcase
John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller,broken arrow,captain desert major park ranger utah
Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy,the kid,altering history cartoon on tv childhood image consultant one two combo
Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller,world trade center,based on true story police rescue rubble trapped
Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama,mona lisa smile,art college school student wellesley college
Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance,the dictator,dictator hotel oil overalls sunglasses
Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller,eyes wide shut,doctor orgy party pianist sexual fantasy
Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical,annie,billionaire business tycoon mayoral candidate penthouse reference to star trek
Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance,focus,con artist con man deception rivalry seduction
McG,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance,this means war,best friend cia cia agent dating undercover
David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinity,blade blood dracula vampire hunter vampire slayer
John Milius,Lea Thompson,Jennifer Grey,William Smith,Action Drama War,red dawn,guerrilla high school invasion soviet wolverine
Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama,primary colors,campaigning candidate election governor president
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller,resident evil: retribution,corporation fight rescue umbrella zombie
Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller,death race,armored car car murder prison warden
Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller,the long kiss goodnight,amnesia chase foot chase strong female character vomiting
Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller,proof of life,jungle pipeline prisoner ransom south america
Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventure,2000s coke meeting future self reference to spongebob squarepants sony
David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama,fight club,anti establishment dark humor fighting multiple personality disorder surprise ending
McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport,we are marshall,coach football football team marshall university university
Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy,hudson hawk,blackmail burglar critically bashed leonardo da vinci prison
Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime,lucky numbers,celebrity lottery murder snowmobile weatherman
Stuart Beattie,Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action Fantasy Sci-Fi Thriller,"i, frankenstein",army creature demon frankenstein gargoyle
Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,Crime Drama,oliver twist,boy character name in title orphan pickpocket workhouse
Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Action Crime Fantasy Thriller,elektra,assassin battle heroine martial arts spin off
Frank Miller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Action Crime Thriller,sin city: a dame to kill for,box office flop female frontal nudity female rear nudity jackpot rescue
Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance,random hearts,death plane crash police police sergeant politician
Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller,everest,blizzard mount everest mountain mountain climbing snow
Tom Tykwer,Michael Smiley,David Calder,Simon Chandler,Crime Drama Fantasy,perfume: the story of a murderer,18th century perfume scent sense of smell smell
Jay Roach,Verne Troyer,Josh Zuckerman,Robert Wagner,Action Comedy Crime,austin powers in goldmember,fem bot prison seductive fembot spy time travel
David Bowers,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Action Animation Comedy Family Sci-Fi,astro boy,betrayal futuristic gladiator robot scientist
Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller,jurassic park,dinosaur jurassic park survival theme park tyrannosaurus rex
Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western,wyatt earp,historically inaccurate name calling penis slur vomiting wyatt earp
Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,Action Crime Drama Thriller,clear and present danger,cia colombia colombian drug cartel drugs president
Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History,dragon blade,child fugitive final battle martial art silk road sword
Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy Crime,littleman,diamond infant parody spoof sports violence
Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,Action War,u-571,battle historically inaccurate submarine movie u boat world war two
Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance,the american president,lobbyist president senator state dinner widower
Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport,the love guru,bloopers during credits bucket of popcorn chastity belt guru toronto maple leafs
Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller,3000 miles to graceland,casino elvis impersonator gun heist rascal
Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western,the hateful eight,blizzard blood vomiting bounty hunter murder shot in the crotch
Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport,blades of glory,competition fight ice jock strap nintendo game boy advance
Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy,hop,drummer easter easter bunny piaggio vespa gtv 250 slacker
Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War,300,battle epic greece spartan warrior
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,meet the fockers,bare butt defecation father in law son in law relationship nurse sexual innuendo in title
David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family,marley & me,box office hit dog dog movie florida pet name in title
Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery,the green mile,1930s death row inmate healing prison guard southern u.s.
Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy,wild hogs,biker gang friend motorcycle new mexico road trip
Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi,chicken little,alien invasion chicken fish friend panic
David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller,gone girl,based on novel disappearance missing person missing wife murder suspect
Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller,the bourne identity,amnesia assassin money political thriller three word title
Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller,goldeneye,agent cossack official james bond series russia russian
Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller,the general's daughter,army cid cover up military murder woman in military
Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi,the truman show,controlled environment fictional reality show hidden camera innocence lost simulated reality
Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt,ancient egypt hebrew nudity pharaoh title directed by female
Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family,daddy day care,bloopers during credits breakfast cereal department store ride face painting sponge bob square pants slippers
Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller,2 guns,close up of breasts female nudity fugitive money undercover
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy,cats & dogs,cartoon on tv cat dog scientist secret agent
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job,gold heist revenge traffic jam venice italy
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance,two weeks notice,developer divorce lawyer love new york city
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz,ant friend princess soldier worker
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat,couple island marriage tropical voyeurism
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport,days of thunder,driver hot shot racing stock car driver team
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2,children competition rival second part vacation
Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller,the scorch trials,desert disease escape resistance virus
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,Drama Romance,eat pray love,divorce emotional balance female protagonist indonesia inner peace
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance,the family man,bowling christmas parallel universe salesman unfaithfulness
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red,cia female assassin interrogation office cubicle spy
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport,any given sunday,breasts coach football in medias res vomiting
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western,the horse whisperer,grace groom horse montana western u.s.
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller,collateral,city by night contract killer driving at night los angeles california taxi
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king,desert king showdown sorceress warrior
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller,ladder 49,death of husband fire firefighter funeral main character dies
Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,Action Crime Mystery Thriller,jack reacher,coma mysterious villain police chase shooting range sniper
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller,deep blue sea,alzheimer's disease experiment human versus shark research underwater headquarters
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it,2000s box office hit comeback rehearsal year 2009
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller,contagion,contagion cure infection panic virus
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack,australia body paint kangaroo mob money
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline,dream new home parallel worlds scissors secret door
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening,bee nature park school teacher
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire,bodyguard journalist kidnapping mexico police corruption
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog,animal as human dog movie elevator human becoming an animal sheepdog
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch,cocaine cop criminal partner police
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way,action figure christmas hero karate toy
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy,assassin demon hero nazi superhero
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action,1980s law firm lawsuit lawyer toxic waste
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman,curse ghost outcast witch zombie
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal,assassin fbi ira jackal russian
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck,anti hero babe scientist engineer memory money
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal,journalism news anchor newscast newscaster tv journalism
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux,book darkness dungeon princess rat
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo,chauffeur hospital secret agent spying tuxedo
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory,colorado niece satellite terrorist train
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit,covert analyst marine russian spy stock market
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy,based on real person female inventor mop sales pitch woman holding a shotgun
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen,british funeral good versus evil mole sequel
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection,alien blood breeding clone scientist
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter,colonel ethiopia marksman on the run rangefinder
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls,chase puppet animation red hat stop motion animation troll
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance,practical magic,curse death island love magic
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie,based on toy dual personality evil businessman good cop bad cop lego
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime,miss congeniality 2: armed and fabulous,bodyguard fbi fbi agent female protagonist undercover
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire,castle dragon fire breathing dragon militia survival
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller,gangster squad,good versus evil machine gun mobster police vigilantism year 1949
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy,year one,abraham hunter princess sodom tribe
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport,invictus,apartheid nation nelson mandela president rugby
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller,state of play,congressman conspiracy newspaper political conspiracy subway
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller,duplicity,ceo dubai product rivalry spy
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi,my favorite martian,alien hidden camera martian reporter spaceship
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller,the sentinel,first lady framed investigation president secret service
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi,planet 51,alien alien planet astronaut planet teenager
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis,earth federation romulan slave space
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance,intolerable cruelty,attorney divorce marriage real estate screwball comedy
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport,trouble with the curve,aging baseball baseball scout north carolina pitcher
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller,edge of darkness,activist detective father daughter relationship investigation vigilantism
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller,the relic,fire helicopter museum police sergeant relic
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime,analyze that,blonde mafia mental illness prison second part
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill,blood splatter execution new york city nypd serial killer
Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,Action Crime Drama Thriller,mercury rising,autistic child boy child in danger fbi nsa
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music,the soloist,columnist journalist los angeles times musician wearing a traffic cone as a hat
Robert Redford,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport,the legend of bagger vance,caddy game golf golf course golfer
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music,almost famous,band magazine rolling stone magazine smoking marijuana tour
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy,garfield 2,cat england lti txii peugeot 206 rover 3 5 litre.coupe p5b
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union,coup d'etat mutiny president u.s. navy washington d.c.
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller,priest,church priest sheriff vampire warrior
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas,book framed goddess prince sinbad
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller,event horizon,solar system space spaceship starship year 2047
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,alien invasion assassin battle iron man soldier
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller,dragonfly,death doctor grave patient venezuela
Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller,the black dahlia,black dahlia boxer corpse death partner
Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys,american france military pilot training
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller,the last castle,colonel general military prison three star general
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,Horror Sci-Fi Thriller,supernova,deep space distress signal explosion mining rescue
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance,winter's tale,black and white photograph drawing with blood falling through ice playing piano red haired woman
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance,the mortal instruments: city of bones,battle demon magic secret warrior
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi,meet dave,alien mutiny orb planet spaceship
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,Drama Horror Thriller,dark water,apartment hello kitty school teacher water
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,Comedy Drama,edtv,female removes her clothes one word title producer television video store
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy,inkheart,book escape girl overalls villain
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller,the spirit,female star appears nude pants falling down samurai white rat woman in a towel
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance,mortdecai,art dealer fake painting macguffin moustache stolen painting
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale,farmer king krug rescue wizard
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Adventure Drama Romance War,beyond borders,africa american border doctor well
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing,buddhism demon journey to the west monk monkey king
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,Action Drama War,the great raid,american lieutenant colonel mission rescue soldier
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Action Adventure Comedy Romance Sci-Fi,deadpool,based on comic book breaking the fourth wall mercenary mutant self healing
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,Comedy Drama,holy man,1990s evangelist professional rivalry swimming pool televangelist
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War,american sniper,assassin death of child iraq sniper sniper rifle
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,Adventure Comedy Family Fantasy Horror,goosebumps,based on book blob ferris wheel manuscript monster
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,Comedy Fantasy Romance,just like heaven,apartment architect coma doctor spirit
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,Comedy Family Romance Sci-Fi,the flintstones in viva rock vegas,based on tv series love prequel the flintstones title appears in song
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War,rambo iii,afghanistan colonel rambo rescue soviet
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy Drama Romance Sport,leatherheads,college football fight football hero surrender
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,Comedy Western,the ridiculous 6,apache bank robbery baseball half brothers white raised as indian
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,Comedy Drama Romance,did you hear about the morgans?,fbi murder witness witness protection wyoming
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,the internship,actor's picture shown in credits animated credits google internship still images in end credits
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi,resident evil: afterlife,alaska female gunfighter mutation ship siege
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,red tails,african american battle italy tuskegee airmen world war two
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller,the devil's advocate,deal with the devil lawyer money reality supernatural power
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,that's my boy,argument reference to vanilla ice statutory rape teacher student relationship teacher student sex
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy,dragonheart,dragon england human dragon relationship king knight
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama,after the sunset,diamond fbi fbi agent island thief
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller,ghost rider: spirit of vengeance,deal with the devil devil eastern europe ghost rider monk
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,Drama Music Romance War,captain corelli's mandolin,captain greek island italian love
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller,the pacifier,bodyguard death of husband male nanny nanny wrestling match
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,walking tall,casino football sheriff special forces violence
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Comedy Drama,forrest gump,amputee love vietnam vietnam war war hero
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation Comedy Family Fantasy Music,alvin and the chipmunks,based on cartoon chipmunk concert fart joke talking animal
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,meet the parents,cat cia jewish male nurse nurse
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,pocahontas,actor playing multiple roles love one word title unsubtitled foreign language virginia
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,superman,1970s clark kent planet superhero year 1978
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi,the nutty professor,face slap formula overweight professor teacher
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance,hitch,advice friendship gossip newspaper quitting a job
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,george of the jungle,animal companion heiress hero jungle male objectification
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance,american wedding,bachelor party blow job breasts friend wedding
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,Biography Drama Thriller,captain phillips,hijacking hostage leader ship somalia
Shawn Levy,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller,date night,city new york city night reservation restaurant
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy,casper,casper friendly ghost ghost maine mansion
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action Crime Thriller,the equalizer,assassin ex soldier gangster hanged man mysterious past
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance,maid in manhattan,hotel maid new york city place name in title the bronx
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,crimson tide,alabama mutiny order radio submarine
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography Drama,the pursuit of happyness,bus intern internship salesman stockbroker
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,flightplan,captain flight flight attendant plane search
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller,disclosure,computer marriage non statutory female on male rape promotion sexual harassment
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance,city of angels,angel doctor fall heart surgeon hospital
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1,bride coma japan revenge sword
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,bowfinger,film within a film filmmaking guerrilla filmmaking making of a movie scientology parody
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,kill bill: vol. 2,assassin assassination bride death vengeance
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,tango & cash,1980s 80s action escape plea bargain prison
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror,death becomes her,plastic surgeon rejuvenation revenge rival rivalry
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,shanghai noon,19th century chinese princess rescue travel
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,executive decision,bomb hostage military plane terrorist
