director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,keywords,comb
David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime Mystery Thriller,eastern promises,male pubic hair pubic hair russian sex scene turkish bath,Viggo Mortensen Naomi Watts Raza Jaffrey David Cronenberg Crime Mystery Thriller male pubic hair pubic hair russian sex scene turkish bath
John Stockwell,Paul Walker,James Frain,Ashley Scott,Action Adventure Crime Thriller,into the blue,bahamas blood splatter cocaine hairy chest shark,Paul Walker James Frain Ashley Scott John Stockwell Action Adventure Crime Thriller bahamas blood splatter cocaine hairy chest shark
Luc Besson,Paul Brooke,David Bailie,Rab Affleck,Adventure Biography Drama History War,the messenger: the story of joan of arc,cathedral dauphin france trial wartime rape,Paul Brooke David Bailie Rab Affleck Luc Besson Adventure Biography Drama History War cathedral dauphin france trial wartime rape
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,Adventure Comedy Fantasy,your highness,knight prince quest rescue thong bikini,Natalie Portman Zooey Deschanel James Franco David Gordon Green Adventure Comedy Fantasy knight prince quest rescue thong bikini
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,Drama Mystery Thriller,dream house,closet father daughter relationship psychiatric hospital real life sisters playing sisters train,Naomi Watts Gregory Smith Sarah Gadon Jim Sheridan Drama Mystery Thriller closet father daughter relationship psychiatric hospital real life sisters playing sisters train
Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,Crime Drama Thriller,mad city,hostage museum natural history museum news reporter reporter,Mia Kirshner Blythe Danner William Atherton Costa-Gavras Crime Drama Thriller hostage museum natural history museum news reporter reporter
Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Adventure Comedy Crime Drama Family,baby's day out,baby baby boy kidnapping kidnapping a child taxi,Joe Mantegna Lara Flynn Boyle Cynthia Nixon Patrick Read Johnson Adventure Comedy Crime Drama Family baby baby boy kidnapping kidnapping a child taxi
Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,Drama Romance,the scarlet letter,17th century adultery letter pubic hair swimming,Gary Oldman Robert Duvall Demi Moore Roland Joffé Drama Romance 17th century adultery letter pubic hair swimming
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,fair game,bush administration cia interview iraq new york times,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller bush administration cia interview iraq new york times
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,Action Biography Crime Drama Thriller,domino,bounty hunter fbi female bounty hunter female nudity reality show,Ian Ziering Mo'Nique Edgar Ramírez Tony Scott Action Biography Crime Drama Thriller bounty hunter fbi female bounty hunter female nudity reality show
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,Crime Drama Thriller,jade,blackmail investigation murder panties pulled down prostitution,Michael Biehn Chazz Palminteri Linda Fiorentino William Friedkin Crime Drama Thriller blackmail investigation murder panties pulled down prostitution
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action Sci-Fi Thriller,gamer,battle convict death mind control role playing,Gerard Butler Logan Lerman Alison Lohman Mark Neveldine Action Sci-Fi Thriller battle convict death mind control role playing
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama Fantasy Romance,beautiful creatures,dream escape magic magic spell small town,Alden Ehrenreich Zoey Deutch Pruitt Taylor Vince Richard LaGravenese Drama Fantasy Romance dream escape magic magic spell small town
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,Comedy Crime Drama Thriller,death to smoochy,children children's tv show money revenge scandal,Robin Williams Vincent Schiavelli Danny Woodburn Danny DeVito Comedy Crime Drama Thriller children children's tv show money revenge scandal
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,Comedy,zoolander 2,chosen one fashion fashion model model retired,Milla Jovovich Will Ferrell Justin Theroux Ben Stiller Comedy chosen one fashion fashion model model retired
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,Comedy Crime,the big bounce,breasts consensual sex female nudity judge surfer,Morgan Freeman Andrew Wilson Willie Nelson George Armitage Comedy Crime breasts consensual sex female nudity judge surfer
Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,Comedy Sci-Fi,what planet are you from?,alien baby banker pregnancy question in title,Judy Greer Linda Fiorentino Garry Shandling Mike Nichols Comedy Sci-Fi alien baby banker pregnancy question in title
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,Action Fantasy Thriller,drive angry,baby cult oklahoma sex scene waitress,Nicolas Cage Billy Burke Katy Mixon Patrick Lussier Action Fantasy Thriller baby cult oklahoma sex scene waitress
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,chun li crime fighter gangster mobster rescue,Chris Klein Robin Shou Josie Ho Andrzej Bartkowiak Action Crime Drama Mystery Thriller chun li crime fighter gangster mobster rescue
James Wong,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,the one,fight multiverse police police officer prison,Jason Statham Jet Li Delroy Lindo James Wong Action Sci-Fi Thriller fight multiverse police police officer prison
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane,detective groupie murder music industry rock n roll,Lauren Holly Gilbert Gottfried David Patrick Kelly Renny Harlin Action Adventure Comedy Crime Music Mystery detective groupie murder music industry rock n roll
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Comedy Drama Music,pirate radio,inspired by radio program inspired by true events pirate broadcasting pirate radio pirate radio station,Philip Seymour Hoffman Charlie Rowe Tom Sturridge Richard Curtis Comedy Drama Music inspired by radio program inspired by true events pirate broadcasting pirate radio pirate radio station
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,Crime Drama Thriller,traffic,cocaine drug smuggling interlinked stories judge mexico,Michael O'Neill Jacob Vargas James Lew Steven Soderbergh Crime Drama Thriller cocaine drug smuggling interlinked stories judge mexico
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,indiana jones and the last crusade,castle diary holy grail map nazi,Harrison Ford Julian Glover Alison Doody Steven Spielberg Action Adventure Fantasy castle diary holy grail map nazi
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,anna karenina,dance infidelity marriage russia russian,Kelly Macdonald Guro Nagelhus Schia Matthew Macfadyen Joe Wright Drama Romance dance infidelity marriage russia russian
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,chappie,artificial intelligence consciousness future mind uploading robot,Hugh Jackman Sharlto Copley Jose Pablo Cantillo Neill Blomkamp Action Crime Drama Sci-Fi Thriller artificial intelligence consciousness future mind uploading robot
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,the bone collector,new york city police quadriplegic serial killer suicide,Denzel Washington Angelina Jolie Pitt Leland Orser Phillip Noyce Crime Drama Mystery Thriller new york city police quadriplegic serial killer suicide
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,panic room,brownstone burglar money panic panic room,Kristen Stewart Dwight Yoakam Mel Rodriguez David Fincher Crime Drama Thriller brownstone burglar money panic panic room
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,the tooth fairy,bare breasts genital dismemberment mulching someone tooth fairy woodchipper,P.J. Soles Lochlyn Munro Steve Bacic Chuck Bowman Horror Thriller bare breasts genital dismemberment mulching someone tooth fairy woodchipper
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,three kings,gold gulf war iraq kuwait map,Judy Greer Jamie Kennedy Mykelti Williamson David O. Russell Action Adventure Comedy Drama War gold gulf war iraq kuwait map
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,child 44,child murderer murder sex soviet union woman slaps a man,Tom Hardy Fares Fares Michael Nardone Daniel Espinosa Crime Drama Thriller child murderer murder sex soviet union woman slaps a man
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,rat race,casino locker money museum race,Corinna Harney Douglas Haase Vince Vieluf Jerry Zucker Adventure Comedy casino locker money museum race
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,k-pax,extraterrestrial hospital patient planet science,Kevin Spacey Jeff Bridges Alfre Woodard Iain Softley Drama Mystery Sci-Fi extraterrestrial hospital patient planet science
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,kate & leopold,bridge brooklyn bridge falling down an elevator shaft time travel time travel romance,Hugh Jackman Natasha Lyonne Bradley Whitford James Mangold Comedy Fantasy Romance bridge brooklyn bridge falling down an elevator shaft time travel time travel romance
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy Fantasy Romance,bedazzled,contract devil dream soul wish,Brendan Fraser Frances O'Connor Brian Doyle-Murray Harold Ramis Comedy Fantasy Romance contract devil dream soul wish
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,Crime Drama Music,the cotton club,brothers hugging jazz jealousy nudity parole violation,Nicolas Cage Bob Hoskins Fred Gwynne Francis Ford Coppola Crime Drama Music brothers hugging jazz jealousy nudity parole violation
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,3:10 to yuma,outlaw rancher small western town stagecoach train,Christian Bale Logan Lerman Gretchen Mol James Mangold Adventure Crime Drama Western outlaw rancher small western town stagecoach train
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,taken 3,betrayal death final showdown murder on the run,Liam Neeson Dougray Scott Jon Gries Olivier Megaton Action Thriller betrayal death final showdown murder on the run
Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,Crime Drama Romance Thriller,out of sight,heist neo noir one last job opposites attract u.s. marshal,Don Cheadle Albert Brooks Keith Hudson Steven Soderbergh Crime Drama Romance Thriller heist neo noir one last job opposites attract u.s. marshal
Ben Stiller,Matthew Broderick,Janeane Garofalo,Andy Dick,Comedy Drama Thriller,the cable guy,cable guy foreplay friend kissing television,Matthew Broderick Janeane Garofalo Andy Dick Ben Stiller Comedy Drama Thriller cable guy foreplay friend kissing television
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,Drama Romance War,earth,friend hindu india muslim sikh,Nandita Das Gulshan Grover Eric Peterson Deepa Mehta Drama Romance War friend hindu india muslim sikh
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,Action Comedy Crime Music Romance Thriller,dick tracy,crime boss detective dick tracy gangster orphan,Charlie Korsmo Warren Beatty Seymour Cassel Warren Beatty Action Comedy Crime Music Romance Thriller crime boss detective dick tracy gangster orphan
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,Crime Romance Thriller,the thomas crown affair,art insurance investigator martinique painting trust,Mark Margolis Faye Dunaway Denis Leary John McTiernan Crime Romance Thriller art insurance investigator martinique painting trust
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,Biography Comedy Drama,riding in cars with boys,boy college heroin working class writer,Rosie Perez Adam Garcia Alissa Dean Penny Marshall Biography Comedy Drama boy college heroin working class writer
Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,Drama Mystery Sci-Fi,solaris,hallucination ocean psychologist scientist space station,Donatas Banionis Anatoliy Solonitsyn Natalya Bondarchuk Andrei Tarkovsky Drama Mystery Sci-Fi hallucination ocean psychologist scientist space station
Paul Bolger,Sarah Michelle Gellar,George Carlin,Rob Paulsen,Adventure Animation Comedy Family Fantasy,happily n'ever after,apostrophe in title cinderella first of series punctuation in title three word title,Sarah Michelle Gellar George Carlin Rob Paulsen Paul Bolger Adventure Animation Comedy Family Fantasy apostrophe in title cinderella first of series punctuation in title three word title
Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,Drama Horror Romance Thriller,mary reilly,19th century butler housemaid laboratory servant,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama Horror Romance Thriller 19th century butler housemaid laboratory servant
P.J. Hogan,Julia Roberts,Christopher Masterson,Rupert Everett,Comedy Romance,my best friend's wedding,best friend chick flick male female friendship promise wedding,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy Romance best friend chick flick male female friendship promise wedding
Joe Roth,Julia Roberts,Rainn Wilson,Larry King,Comedy Romance,america's sweethearts,actor love movie star press publicist,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy Romance actor love movie star press publicist
Christopher Nolan,Al Pacino,Maura Tierney,Crystal Lowe,Drama Mystery Thriller,insomnia,detective insomnia murder partner police,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama Mystery Thriller detective insomnia murder partner police
Jonathan Frakes,LeVar Burton,Alfre Woodard,Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,star trek: first contact,21st century borg borg sphere captain sphere,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action Adventure Drama Sci-Fi Thriller 21st century borg borg sphere captain sphere
Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,Action Drama Fantasy Thriller Western,jonah hex,confederate death independence day military terrorist,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action Drama Fantasy Thriller Western confederate death independence day military terrorist
Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,Action Drama Mystery Thriller War,courage under fire,bravery honor medal of honor military life unreliable flashback,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action Drama Mystery Thriller War bravery honor medal of honor military life unreliable flashback
Tom Shadyac,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Comedy Fantasy Romance,liar liar,birthday birthday wish father disappoints child lie workaholic,Maura Tierney Swoosie Kurtz Randall 'Tex' Cobb Tom Shadyac Comedy Fantasy Romance birthday birthday wish father disappoints child lie workaholic
Terence Young,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Drama History War,inchon,1950s douglas macarthur general inchon invasion,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama History War 1950s douglas macarthur general inchon invasion
Brian Levant,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Comedy Family Fantasy,the flintstones,1000000 b.c. box office hit lawn mowing product placement stone age,Jonathan Winters Elizabeth Perkins Harvey Korman Brian Levant Comedy Family Fantasy 1000000 b.c. box office hit lawn mowing product placement stone age
Olivier Megaton,Liam Neeson,Luke Grimes,D.B. Sweeney,Action Crime Thriller,taken 2,albanian revenge revenge motive teenage daughter vacation,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action Crime Thriller albanian revenge revenge motive teenage daughter vacation
David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,Comedy,scary movie 3,crop circle farm orchestral music score reference to michael jackson videotape,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy crop circle farm orchestral music score reference to michael jackson videotape
Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Action Comedy Crime Romance,miss congeniality,beauty pageant fbi female agent pageant undercover,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action Comedy Crime Romance beauty pageant fbi female agent pageant undercover
Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,cave lost world missing brother mountain venus flytrap,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action Adventure Family Fantasy Sci-Fi cave lost world missing brother mountain venus flytrap
Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance,the princess diaries 2: royal engagement,coronation horse princess queen side saddle,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy Family Romance coronation horse princess queen side saddle
Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller,the pelican brief,college professor fbi president professor supreme court,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime Drama Mystery Thriller college professor fbi president professor supreme court
Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller,the client,boy brother lawyer mafia senator,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime Drama Mystery Thriller boy brother lawyer mafia senator
Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama,the bucket list,billionaire friend hospital list mechanic,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure Comedy Drama billionaire friend hospital list mechanic
Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller,patriot games,analyst cia ira terrorist terrorist attack,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action Thriller analyst cia ira terrorist terrorist attack
Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance,monster-in-law,breakdown fight mother in law scheme wedding,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy Romance breakdown fight mother in law scheme wedding
Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller,prisoners,child abduction detective investigation police sex offender,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime Drama Mystery Thriller child abduction detective investigation police sex offender
Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller,training day,lapd narc narcotics title spoken by character training,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime Drama Thriller lapd narc narcotics title spoken by character training
Dean Parisot,Alan Rickman,Enrico Colantoni,Robin Sachs,Adventure Comedy Sci-Fi,galaxy quest,alien alien race convention fan general,Alan Rickman Enrico Colantoni Robin Sachs Dean Parisot Adventure Comedy Sci-Fi alien alien race convention fan general
Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy,scary movie 2,blow job demon exorcism priest professor,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy blow job demon exorcism priest professor
James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical,the muppets,bel air california book friends who live together the muppets tribute band,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure Comedy Family Musical bel air california book friends who live together the muppets tribute band
Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror,blade,1990s blade blood vampire vampire hunter,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action Horror 1990s blade blood vampire vampire hunter
Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport,coach carter,basketball basketball coach coach contract high school,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama Sport basketball basketball coach coach contract high school
Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller,changing lanes,car accident feud lawyer revenge road rage,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama Thriller car accident feud lawyer revenge road rage
Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller,anaconda,amazon anaconda boat jungle snake,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action Adventure Horror Thriller amazon anaconda boat jungle snake
David McNally,Adam Garcia,Tyra Banks,Izabella Miko,Comedy Drama Music Romance,coyote ugly,girl in panties lift skirt sexual attraction short shorts songwriter,Adam Garcia Tyra Banks Izabella Miko David McNally Comedy Drama Music Romance girl in panties lift skirt sexual attraction short shorts songwriter
Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance,love actually,aging rocker christmas love at first sight minister prime minister,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy Drama Romance aging rocker christmas love at first sight minister prime minister
John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,Adventure Animation Comedy Family Fantasy,a bug's life,ant circus grasshopper misunderstanding overhearing,Kevin Spacey Madeline Kahn John Ratzenberger John Lasseter Adventure Animation Comedy Family Fantasy ant circus grasshopper misunderstanding overhearing
Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller,the specialist,bomb cia explosive explosives expert miami florida,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action Crime Drama Romance Thriller bomb cia explosive explosives expert miami florida
Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,Comedy Drama Romance Sport,tin cup,driving range golf golfer tournament winnebago,Don Johnson Cheech Marin Rene Russo Ron Shelton Comedy Drama Romance Sport driving range golf golfer tournament winnebago
Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,Comedy Family,"yours, mine and ours",nurse parent sibling widow widower,Lucille Ball Tom Bosley Tim Matheson Melville Shavelson Comedy Family nurse parent sibling widow widower
Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport,kicking & screaming,book child slapstick comedy soccer suburb,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy Family Romance Sport book child slapstick comedy soccer suburb
Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,alien friend galaxy hyperspace spaceship,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure Comedy Sci-Fi alien friend galaxy hyperspace spaceship
Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance,fat albert,animated sequence junkyard love party television,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy Family Fantasy Romance animated sequence junkyard love party television
Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller,resident evil: extinction,clone convoy crow desert satellite,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action Horror Sci-Fi Thriller clone convoy crow desert satellite
Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance,blended,blind date children date daughter son,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy Romance blind date children date daughter son
Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama,last holiday,chef congressman cook hotel senator,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure Comedy Drama chef congressman cook hotel senator
Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller,the river wild,criminal rafting river robber white water rafting,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action Adventure Crime Thriller criminal rafting river robber white water rafting
Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy,the indian in the cupboard,best friend birthday boy friend magic,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama Family Fantasy best friend birthday boy friend magic
Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller,savages,arms tied overhead damsel in distress dea marijuana southern california,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime Drama Thriller arms tied overhead damsel in distress dea marijuana southern california
David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller,cellular,cell phone distress signal family in danger police stealing a car,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action Crime Thriller cell phone distress signal family in danger police stealing a car
Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy,johnny english,british crown jewels explosion funeral spy,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action Adventure Comedy british crown jewels explosion funeral spy
John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy,the ant bully,ant miniaturization punishment shrinking sudden change in size,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure Animation Comedy Family Fantasy ant miniaturization punishment shrinking sudden change in size
David Lynch,Virginia Madsen,Jürgen Prochnow,José Ferrer,Action Adventure Sci-Fi,dune,desert planet dune giant worm space travel spice,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action Adventure Sci-Fi desert planet dune giant worm space travel spice
Sam Mendes,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance,revolutionary road,based on novel children connecticut suburb work,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama Romance based on novel children connecticut suburb work
Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller,16 blocks,alcoholic courthouse detective jail witness,Bruce Willis David Zayas Sasha Roiz Richard Donner Action Crime Drama Thriller alcoholic courthouse detective jail witness
Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller,babylon a.d.,box office flop convent mercenary new york pregnant,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action Adventure Sci-Fi Thriller box office flop convent mercenary new york pregnant
John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller,the glimmer man,detective heavy rain murder partner serial killer,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action Comedy Crime Drama Thriller detective heavy rain murder partner serial killer
Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Comedy Romance Sci-Fi,multiplicity,clone cloning construction same actor playing two characters simultaneously on screen year 1996,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy Romance Sci-Fi clone cloning construction same actor playing two characters simultaneously on screen year 1996
John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,alien attic boyfriend mind control nintendo ds,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure Comedy Family Fantasy Sci-Fi alien attic boyfriend mind control nintendo ds
Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller,the pledge,nevada pledge police porcupine search,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime Drama Mystery Thriller nevada pledge police porcupine search
Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical,the producers,accountant money opening night scheme swedish,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy Musical accountant money opening night scheme swedish
Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi,dredd,brutality dark humor female antagonist female warrior post apocalypse,Wood Harris Jason Cope Rakie Ayola Pete Travis Action Sci-Fi brutality dark humor female antagonist female warrior post apocalypse
Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy,the phantom,ghost new york city phantom skull superhero,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action Adventure Comedy Fantasy ghost new york city phantom skull superhero
Billy Bob Thornton,Matt Damon,Henry Thomas,Sam Shepard,Drama Romance Western,all the pretty horses,1940s cowboy mexico railway station texas,Matt Damon Henry Thomas Sam Shepard Billy Bob Thornton Drama Romance Western 1940s cowboy mexico railway station texas
Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History,nixon,courtship election paranoia president quaker,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography Drama History courtship election paranoia president quaker
Roman Polanski,Jim Belushi,Olivia Williams,Timothy Hutton,Mystery Thriller,the ghost writer,british prime minister death island memoir writer,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery Thriller british prime minister death island memoir writer
Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,Action Adventure Horror Sci-Fi,deep rising,creature feature hijacker ocean ship shot in the leg,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action Adventure Horror Sci-Fi creature feature hijacker ocean ship shot in the leg
